x,y,dtw,domain
5.417981147766113,4.061371326446533,0,image
5.305925369262695,4.201314926147461,1,image
5.009533405303955,4.183725357055664,2,image
4.696174144744873,4.110396385192871,3,image
4.626402378082275,4.038057327270508,4,image
4.546029090881348,4.005507469177246,5,image
4.032834529876709,3.7329301834106445,6,image
2.8971922397613525,3.419163465499878,7,image
2.8110034465789795,3.396008014678955,8,image
2.5185039043426514,3.3831937313079834,9,image
2.587217330932617,3.284877300262451,10,image
2.141314744949341,3.293492317199707,11,image
2.342395782470703,3.0718586444854736,12,image
2.349327325820923,2.8102948665618896,13,image
1.6350065469741821,2.6586856842041016,14,image
1.8099968433380127,2.3567371368408203,15,image
1.7330703735351562,1.406904697418213,16,image
1.9320929050445557,1.5756163597106934,17,image
1.3967735767364502,0.3621521592140198,18,image
1.0592902898788452,-0.5638934373855591,19,image
0.8533751964569092,-0.8590063452720642,20,image
1.0160887241363525,-1.3910835981369019,21,image
1.2458584308624268,-1.5891306400299072,22,image
2.4370453357696533,-1.8679885864257812,23,image
2.803941249847412,-2.9471664428710938,24,image
2.4646549224853516,-2.9732346534729004,25,image
2.73517107963562,-3.2301619052886963,26,image
3.2695915699005127,-3.000427484512329,27,image
4.0816497802734375,-3.4084794521331787,28,image
3.610247850418091,-3.555126428604126,29,image
3.6787588596343994,-3.5027027130126953,30,image
3.9718198776245117,-3.8355343341827393,31,image
5.6054863929748535,-4.357645034790039,32,image
5.1927337646484375,-4.279015064239502,33,image
5.256867408752441,-4.142101764678955,34,image
6.3678741455078125,-4.30743408203125,35,image
4.746865749359131,-3.8187344074249268,36,image
4.748838424682617,-3.7282698154449463,37,image
5.603635787963867,-3.9445605278015137,38,image
6.637681007385254,-3.5569961071014404,39,image
6.407073020935059,-3.6702895164489746,40,image
6.929438591003418,-3.2016403675079346,41,image
7.220747470855713,-2.9705240726470947,42,image
8.055401802062988,-1.522203803062439,43,image
7.54164457321167,-2.3398797512054443,44,image
8.419960975646973,-2.0838265419006348,45,image
8.040119171142578,-2.014610528945923,46,image
8.588638305664062,-0.9570538401603699,47,image
8.103036880493164,-0.5440678596496582,48,image
8.215357780456543,-0.3190978765487671,49,image
8.000101089477539,-1.2679579257965088,50,image
8.450677871704102,-0.7343845367431641,51,image
7.902543067932129,0.09550616890192032,52,image
7.648582935333252,-1.9861503839492798,0,image
7.3682050704956055,-2.460629940032959,0,image
7.622358798980713,-1.5482890605926514,0,image
7.73367977142334,-1.9479504823684692,0,image
7.648687839508057,-1.6507525444030762,0,image
7.878885746002197,-1.00015127658844,0,image
7.718813419342041,-0.7681533694267273,0,image
7.798144340515137,-0.3680943250656128,0,image
7.851152420043945,-0.1576598733663559,0,image
7.778841972351074,0.6553934812545776,0,image
7.438117980957031,1.213150978088379,0,image
7.376556873321533,1.4929951429367065,0,image
7.4468255043029785,1.444664716720581,0,image
7.816161632537842,1.1715805530548096,0,image
7.60975456237793,1.5896514654159546,0,image
6.995485305786133,2.3697547912597656,0,image
5.775479793548584,3.460675001144409,0,image
5.518792629241943,3.9806137084960938,0,image
5.438902378082275,4.2573981285095215,0,image
5.846594333648682,4.2252516746521,0,image
5.864146709442139,4.286806106567383,0,image
5.1861677169799805,4.861488342285156,0,image
5.461330413818359,4.9994215965271,0,image
5.2134809494018555,5.123889923095703,1,image
5.319550514221191,5.297126770019531,2,image
4.879110336303711,4.901507377624512,3,image
4.631959915161133,4.908802032470703,3,image
4.682251453399658,4.815377235412598,4,image
4.669340133666992,4.820939540863037,5,image
4.395210266113281,4.532288074493408,6,image
3.9861700534820557,4.241201877593994,6,image
3.424743413925171,4.095878601074219,7,image
2.6133711338043213,4.037883281707764,7,image
2.7842459678649902,3.749619245529175,7,image
2.7315680980682373,3.6755669116973877,8,image
2.060847520828247,3.7778501510620117,9,image
2.632446050643921,3.7752630710601807,10,image
2.720632553100586,3.549204111099243,11,image
2.5785725116729736,2.9319276809692383,12,image
2.7685086727142334,3.1593525409698486,14,image
2.6785879135131836,2.291618585586548,15,image
1.7637410163879395,1.0046314001083374,16,image
