x,y,dtw,domain
-33.20203399658203,22.93459129333496,0,image
-34.023826599121094,22.229618072509766,1,image
-36.67838668823242,19.92830467224121,2,image
-40.581214904785156,17.890687942504883,3,image
-67.03144073486328,-4.2243733406066895,4,image
-68.56129455566406,-12.107403755187988,5,image
-67.07292938232422,-15.695900917053223,6,image
-58.50153732299805,-35.949989318847656,7,image
-58.566650390625,-36.167850494384766,8,image
-50.1195068359375,-55.14292526245117,9,image
-50.37468338012695,-55.14306640625,10,image
-39.61152267456055,-59.317989349365234,11,image
-32.81697082519531,-68.11260986328125,12,image
-26.587953567504883,-72.90438842773438,13,image
-16.49745750427246,-69.83090209960938,14,image
-14.805875778198242,-72.76715850830078,15,image
6.571071147918701,-59.596046447753906,16,image
6.353631019592285,-59.45307922363281,17,image
17.4955997467041,-59.477359771728516,18,image
32.53357696533203,-60.547969818115234,19,image
37.47285842895508,-62.73249816894531,20,image
44.19255828857422,-53.76716613769531,21,image
44.926231384277344,-49.540611267089844,22,image
25.661502838134766,-39.99907302856445,23,image
20.292877197265625,-26.266817092895508,24,image
25.508880615234375,-25.56026268005371,25,image
18.64459800720215,-21.021181106567383,26,image
-23.466941833496094,-4.650964736938477,27,image
-33.24354934692383,-5.650284290313721,28,image
-32.133113861083984,-1.411534070968628,29,image
-32.20937728881836,-1.4709861278533936,30,image
-38.48119354248047,0.5760759115219116,31,image
-58.042606353759766,8.347099304199219,32,image
-52.105560302734375,7.669705390930176,33,image
-54.19706344604492,11.858181953430176,34,image
-62.25833511352539,17.243215560913086,35,image
-51.881988525390625,18.01645278930664,36,image
-51.415809631347656,19.372318267822266,37,image
-55.66740417480469,23.92186737060547,38,image
-59.117347717285156,32.75196075439453,39,image
-58.6756477355957,32.08168029785156,40,image
-55.121944427490234,39.63179016113281,41,image
-52.88142776489258,46.27414321899414,42,image
-43.62919235229492,59.58648681640625,43,image
-48.44556427001953,54.343536376953125,44,image
-47.28209686279297,59.922359466552734,45,image
-47.029396057128906,59.078819274902344,46,image
-38.06748962402344,66.86297607421875,47,image
-33.566410064697266,66.50871276855469,48,image
